<<<<<<< HEAD
=======
<<<<<<< HEAD
possibl,6,1,1,1,0,0,0,0,0,0,0,0,2,1
illeg,11,0,0,1,3,2,0,0,0,0,1,0,0,1
way,10,0,0,1,3,1,0,0,0,0,0,0,1,2
total,18,0,3,2,1,1,1,0,0,2,0,1,2,2
without,6,0,2,1,1,0,0,0,0,0,1,0,0,1
author,5,0,1,0,0,0,0,0,1,0,0,1,1,1
disgrac,4,0,0,0,0,0,0,0,0,0,0,0,0,3
tough,3,0,0,0,1,0,0,0,0,0,0,0,0,1
primari,8,0,0,1,4,1,0,0,0,0,0,0,0,2
show,15,0,2,3,3,2,0,0,2,0,2,0,0,0
everyon,13,1,3,1,1,0,0,2,0,0,2,0,1,0
broken,2,0,1,0,1,0,0,0,0,0,0,0,0,0
unfair,7,1,1,1,2,0,0,0,1,0,0,0,1,0
court,6,1,1,1,1,0,0,0,0,0,0,0,0,0
system,9,0,2,3,2,0,0,0,0,0,0,0,0,0
oppos,1,0,1,0,0,0,0,0,0,0,0,0,0,0
side,5,1,2,0,1,0,0,0,0,0,1,0,0,0
case,3,0,1,0,0,0,1,0,0,0,0,0,0,0
alway,9,0,2,0,0,0,0,2,0,0,4,0,0,0
run,9,1,1,1,1,0,0,1,0,0,1,1,1,0
circuit,1,0,1,0,0,0,0,0,0,0,0,0,0,0
almost,5,0,1,0,1,0,0,0,0,0,0,0,1,0
win,19,1,1,1,4,1,0,1,0,2,6,0,0,1
revers,1,0,1,0,0,0,0,0,0,0,0,0,0,0
higher,5,0,1,1,0,0,0,0,0,0,0,1,0,1
agent,4,0,1,0,0,0,0,0,0,0,1,0,0,0
offic,10,0,1,2,1,0,1,0,0,0,2,0,2,0
entir,9,1,1,2,0,1,0,1,0,0,3,0,0,0
nation,36,1,2,5,12,1,0,3,1,0,6,0,1,1
keep,9,0,0,1,4,0,1,0,0,0,2,0,0,1
fellow,1,0,0,0,0,0,0,0,0,0,1,0,0,0
safe,5,1,1,2,0,0,0,0,0,0,1,0,0,0
grate,2,0,0,0,0,0,0,0,0,0,2,0,0,0
presid,44,4,4,1,10,1,1,1,2,1,8,2,6,1
agre,3,0,1,0,0,0,0,1,0,0,1,0,0,0
made,15,1,1,2,1,2,0,1,0,0,1,0,3,1
clear,2,0,0,1,0,1,0,0,0,0,0,0,0,0
sign,8,0,0,5,0,0,0,0,0,1,2,0,0,0
new,29,1,1,9,10,0,1,0,0,1,4,0,2,0
execut,2,0,0,1,0,0,1,0,0,0,0,0,0,0
order,11,1,1,2,4,0,0,0,0,0,2,0,0,0
ensur,2,0,0,1,1,0,0,0,0,0,0,0,0,0
veteran,5,0,1,2,0,0,0,0,0,0,2,0,0,0
resourc,1,0,0,1,0,0,0,0,0,0,0,0,0,0
transit,2,0,1,1,0,0,0,0,0,0,0,0,0,0
back,24,1,2,7,3,0,1,1,0,0,3,0,2,1
civilian,1,0,0,1,0,0,0,0,0,0,0,0,0,0
life,12,1,1,5,2,0,0,0,0,0,0,0,1,1
hero,6,0,1,1,1,0,0,1,0,0,2,0,0,0
given,6,0,1,1,2,1,0,0,0,0,1,0,0,0
care,7,2,0,4,1,0,0,0,0,0,0,0,0,0
support,11,1,0,1,3,0,0,0,0,0,5,0,1,0
rich,2,0,0,2,0,0,0,0,0,0,0,0,0,0
deserv,5,0,0,2,1,0,0,0,0,0,1,0,0,1
democrat,28,0,3,5,8,1,1,0,2,1,2,0,3,0
lawmak,1,0,0,0,0,0,0,0,0,0,1,0,0,0
product,3,1,0,0,1,0,0,0,0,0,1,0,0,0
meet,14,1,0,2,6,0,0,0,0,0,4,0,1,0
immigr,9,0,1,2,2,1,0,0,0,0,2,0,0,0
reform,17,0,0,5,2,1,1,0,0,0,2,1,3,1
strong,13,0,0,2,3,0,1,0,1,0,3,0,2,0
agreement,2,0,0,0,1,0,0,0,0,0,1,0,0,0
negoti,4,0,0,0,2,0,0,0,0,0,1,0,1,0
bill,23,0,2,8,1,0,0,0,0,1,7,0,3,0
deal,12,1,0,2,4,1,0,0,0,0,2,0,0,1
chain,5,0,1,2,0,0,0,0,0,0,1,0,0,1
migrat,5,0,1,2,0,0,0,0,0,0,1,0,0,1
lotteri,6,0,1,2,1,0,0,0,0,0,1,0,0,1
king,3,0,0,0,2,0,0,0,0,0,1,0,0,0
